ingredient,frequency,harm_level,harm_score
microbial rennet,681,moderate,2
pommes de terre dshydrates,681,moderate,2
emulgointiaine,681,moderate,2
pasteuris,681,moderate,2
expiration date completed,681,moderate,2
benzoate de sodium,680,moderate,2
endisaccharide,680,moderate,2
citrus fiber,679,moderate,2
whey permeate,679,moderate,2
bulgur wheat,679,safe,1
granola,679,moderate,2
pretzels,679,moderate,2
jus de pomme,678,moderate,2
gerste,678,moderate,2
muskatnuss,678,moderate,2
anis,677,moderate,2
dried potatoes,677,moderate,2
weinessig,676,moderate,2
pois chiches,676,moderate,2
sureregulatoren,676,moderate,2
crales contenant du gluten,676,moderate,2
lactobacillus bulgaricus,675,moderate,2
maltose,675,moderate,2
cardamome,675,moderate,2
ingredients photo to be selected,675,moderate,2
graisse de poulet,674,moderate,2
cido citrico,674,moderate,2
allura red,674,moderately high,3
alginate de sodium,674,moderate,2
natriumbenzoat,674,moderate,2
vegetable broth,673,moderate,2
nocciole,672,moderate,2
tapioca maltodextrin,672,moderately high,3
cultured pasteurized grade a nonfat milk,672,safe,1
topfrscans,672,moderate,2
lodised salt,671,safe,1
star anise,671,safe,1
evaporated cane sugar,671,moderately high,3
gordura vegetal,671,moderate,2
foelie,671,moderate,2
glicerina,670,moderate,2
roasted almonds,670,moderate,2
saborizante artificial,670,moderate,2
feta cheese,670,safe,1
propyl gallate,670,moderate,2
crevettes,670,moderate,2
mace,669,moderate,2
amidons modifis,669,moderate,2
gerst,668,moderate,2
peach,667,moderate,2
provolone cheese,667,safe,1
organic distilled vinegar,666,moderate,2
kokosolie,666,moderate,2
weizenmalzmehl,665,moderate,2
benzyl salicylate,665,moderate,2
girofle,665,moderate,2
harina de maz,664,moderate,2
beta carotene color,664,safe,1
sale marino,664,moderate,2
sodium saccharin,664,hazardous,4
yogurt powder,662,moderate,2
cpres,662,moderate,2
whole rolled oats,662,moderate,2
coriander powder,662,moderate,2
edible vegetable oil,662,moderate,2
brown sugar syrup,661,moderately high,3
tamarind extract,661,moderate,2
mononitrate,660,moderate,2
azodicarbonamide,660,moderate,2
organic natural flavors,660,moderate,2
cornflakes,660,moderate,2
oeufs frais,659,moderate,2
