ingredient,frequency,harm_level,harm_score
olio di girasole,1278,moderate,2
goma guar,1277,moderate,2
farine de seigle,1277,moderate,2
knoblauchpulver,1275,moderate,2
rohrzucker,1274,moderate,2
worcestershire sauce,1273,moderate,2
avoine,1272,moderate,2
matire grasse vgtale,1272,moderate,2
isolated soy protein,1272,safe,1
graisse de canard,1272,moderate,2
burro,1270,moderate,2
vitamin b riboflavin,1270,moderate,2
cows milk,1269,safe,1
milk proteins,1268,safe,1
magere melkpoeder,1267,moderate,2
hibiscus,1266,moderate,2
rohrohrzucker,1265,moderate,2
vitamina c,1263,moderate,2
sitronsyre,1263,moderate,2
soya flour,1262,moderate,2
monterey jack cheese,1262,safe,1
carotenes,1261,moderate,2
ksereikulturen,1261,moderate,2
potato flakes,1260,safe,1
beef fat,1259,moderate,2
poudre de lait,1258,moderate,2
white distilled vinegar,1255,moderate,2
conservadores,1255,moderate,2
mono et diglycrides dacides gras,1254,moderate,2
curry,1254,moderate,2
poivrons,1251,moderate,2
poulet,1251,moderate,2
poivron rouge,1250,moderate,2
disodium edta,1250,hazardous,4
vinagre,1248,moderate,2
firming agent,1247,moderate,2
aromat,1243,moderate,2
distilled white vinegar,1242,moderate,2
gomme de guar,1240,moderate,2
paprika oleoresin,1237,moderate,2
almond,1235,safe,1
medium chain triglycerides,1232,moderate,2
mulsifiant e,1229,moderate,2
pistachios,1229,moderate,2
benzyl alcohol,1228,moderate,2
sodium bisulfite,1225,moderate,2
poppy seeds,1225,moderate,2
aceite de oliva,1225,moderate,2
celery seed,1222,moderate,2
turkey,1222,moderate,2
gomme arabique,1221,moderate,2
carbonates dammonium,1220,moderate,2
przyprawy,1220,moderate,2
masse de cacao,1218,moderate,2
farine de soja,1217,moderate,2
distilled monoglycerides,1217,moderate,2
whole grain oat flour,1217,safe,1
sweet potato,1216,safe,1
as a preservative,1216,moderately high,3
fruit and vegetable juice,1215,moderate,2
sucre inverti,1213,moderate,2
wortel,1213,moderate,2
vitaminas,1211,moderate,2
framboise,1210,moderate,2
whole grain wheat flour,1210,safe,1
milchsure,1209,moderate,2
amylase,1208,moderate,2
turkey breast,1208,moderate,2
lcysteine,1208,moderate,2
smoke flavoring,1205,moderate,2
organic vanilla extract,1205,moderate,2
mannitol,1204,moderate,2
vegetables,1203,moderate,2
poireaux,1203,moderate,2
natural vanilla extract,1202,moderate,2
maszetmeel,1201,moderate,2
weipoeder,1201,moderate,2
gember,1199,moderate,2
anchovies,1198,moderate,2
manganese sulfate,1197,moderate,2
sodium metabisulphite,1196,moderately high,3
raspberry,1195,moderate,2
farine,1195,moderate,2
packaging code to be completed,1192,moderate,2
chives,1191,moderate,2
soybean lecithin,1190,moderate,2
carbon dioxide,1190,moderate,2
soya lecithins,1190,moderate,2
beurre ptissier,1190,moderate,2
durum flour,1187,moderate,2
girasol,1184,moderate,2
coloring,1183,moderate,2
calcium stearate,1182,moderate,2
balsamic vinegar,1181,moderate,2
cucumber,1180,moderate,2
tahini,1180,moderate,2
rapsolja,1180,moderate,2
koolzaadolie,1178,moderate,2
extract,1177,moderate,2
organic brown rice syrup,1176,moderate,2
packaging code completed,1176,moderate,2
sojalecithine,1172,moderate,2
cacao en polvo,1168,moderate,2
correcteurs dacidit,1167,moderate,2
raisins secs,1163,moderate,2
trisodium phosphate,1163,moderately high,3
uova,1163,moderate,2
grain vinegar,1163,moderate,2
champignons,1162,moderate,2
fargestoff,1160,moderate,2
houblon,1160,moderate,2
knoflookpoeder,1160,moderate,2
foie gras de canard,1160,moderate,2
wine vinegar,1159,moderate,2
polyglycerol esters of fatty acids,1157,moderate,2
sojalecithin,1156,moderate,2
vitamine b,1155,moderate,2
tkezsi s,1155,moderate,2
conservateur e,1155,moderate,2
zanahoria,1154,moderate,2
andor sunflower oil,1154,moderate,2
partially hydrogenated palm kernel oil,1152,hazardous,4
armagnac,1149,moderate,2
potassium carbonate,1147,moderate,2
dextrose de bl,1147,moderately high,3
curcumine,1146,moderate,2
hvitlk,1144,moderate,2
citronellol,1144,moderate,2
enquantitytobecompleted,1144,moderate,2
banana,1143,safe,1
flavour enhancers,1143,moderate,2
leche entera en polvo,1143,moderate,2
natrliches mineralwasser,1142,moderate,2
sodium molybdate,1141,moderate,2
potassium sorbate and sodium benzoate,1141,hazardous,4
flaxseed,1140,moderate,2
skimmed milk,1139,safe,1
rye,1138,moderate,2
milk chocolate sugar,1136,moderately high,3
iii,1135,moderate,2
amido di mais,1134,moderate,2
acids,1134,moderate,2
peterselie,1133,moderate,2
palmitate,1132,moderate,2
sel iod,1131,moderate,2
weizengluten,1130,moderate,2
wrze,1129,moderate,2
enriched wheat flour flour,1126,safe,1
rhum,1126,moderate,2
vitamina a,1125,moderate,2
witte peper,1124,moderate,2
coconut cream,1123,safe,1
anthocyanins,1123,moderate,2
crust,1120,moderate,2
jus de citron base de concentr,1120,moderate,2
colorantes,1117,moderate,2
kartoffeln,1117,moderate,2
beet powder,1116,moderate,2
organic black pepper,1115,safe,1
extrait dpices,1114,moderate,2
organic coconut oil,1111,moderate,2
protine de lait,1111,moderate,2
white chocolate,1109,safe,1
to retain moisture,1109,moderate,2
vinegar powder,1109,moderate,2
sauce soja,1108,moderate,2
emulsifier soya lecithin,1105,moderate,2
lait crm rhydrat,1103,moderate,2
pantothensure,1102,moderate,2
konserveringsmedel,1102,moderate,2
maismehl,1101,moderate,2
creme,1101,moderate,2
to promote color retention,1100,moderate,2
coagulant,1099,moderate,2
pgpr,1098,moderate,2
fractionated palm kernel oil,1096,moderate,2
organic extra virgin olive oil,1095,moderate,2
tocopheryl acetate,1095,moderate,2
sojabohnen,1091,moderate,2
glucosefructosestroop,1091,moderate,2
encategoriestobecompleted,1090,moderate,2
green tea,1089,safe,1
dehydrated vegetables,1089,moderate,2
vitamin b thiamin mononitrate,1086,moderate,2
stabilisator diphosphate,1083,moderately high,3
cornichons,1083,moderate,2
reis,1082,moderate,2
blackcurrant,1082,moderate,2
banana puree,1081,safe,1
toppercentscans,1080,moderate,2
pectines,1078,moderate,2
soy oil,1078,moderate,2
partially hydrogenated vegetable oil,1078,hazardous,4
pure de tomates,1077,moderate,2
feuchthaltemittel,1077,moderate,2
lime,1076,moderate,2
tarwezetmeel,1076,moderate,2
wheat protein,1075,safe,1
cheddar cheese pasteurized milk,1075,safe,1
amidons,1075,moderate,2
aardappel,1073,moderate,2
peanut flour,1072,safe,1
lupin,1072,moderate,2
organic onions,1071,moderate,2
acide pantothnique,1070,moderate,2
chromium chloride,1070,moderate,2
cheese powder,1068,moderate,2
natural butter flavor,1068,moderate,2
liquid sugar,1068,moderately high,3
poivrons rouges,1067,moderate,2
sulfur dioxide,1066,moderate,2
ground black pepper,1065,safe,1
fermentos lcticos,1065,moderate,2
natriumhydrogencarbonat,1065,moderate,2
stearic acid,1063,moderate,2
peppermint oil,1063,moderate,2
natrliches vanillearoma,1062,moderate,2
sodium laureth sulfate,1062,moderate,2
tetrasodium pyrophosphate,1057,moderate,2
emulgentes,1057,moderate,2
farina di riso,1056,moderate,2
blanc doeuf,1056,moderate,2
sciroppo di glucosiofruttosio,1056,moderate,2
volle melkpoeder,1055,moderate,2
packaging completed,1054,moderate,2
zinc sulfate,1053,moderate,2
silica,1053,moderate,2
cetearyl alcohol,1052,moderate,2
ricotta cheese,1052,safe,1
petits pois,1051,moderate,2
raapzaad,1047,moderate,2
seigle,1046,moderate,2
biotine,1045,moderate,2
nicotinamide,1042,moderate,2
bifidus,1042,moderate,2
dried onions,1041,moderate,2
gluten de trigo,1041,moderate,2
soybean andor canola oil,1041,moderate,2
eigelb,1041,moderate,2
dimethicone,1040,moderate,2
microbial enzymes,1040,moderate,2
cire de carnauba,1040,moderate,2
potassium,1038,moderate,2
organic tomato paste,1038,safe,1
surhetsreglerande medel,1038,moderate,2
organic soybeans,1037,moderate,2
chicken breast with rib meat,1037,safe,1
flocons davoine,1036,moderate,2
contient sulfites,1035,moderate,2
lait demicrm,1035,moderate,2
fenouil,1033,moderate,2
sodium,1032,moderate,2
less than of salt,1031,safe,1
graines de tournesol,1031,moderate,2
sureregulator natriumacetate,1030,moderate,2
pineapple juice,1030,safe,1
streptococcus thermophilus,1030,moderate,2
buttermilk solids,1029,moderate,2
organic whole wheat flour,1029,safe,1
blueberry,1028,moderate,2
for tartness,1028,moderate,2
flax seeds,1028,moderate,2
gejodeerd zout,1028,moderate,2
allspice,1027,moderate,2
cultured cream,1027,safe,1
bleached enriched wheat flour,1027,safe,1
carragenina,1025,moderate,2
maltitol syrup,1023,moderate,2
chickpea flour,1023,safe,1
poudre de lactosrum,1021,moderate,2
aglio,1020,moderate,2
sal marina,1017,moderate,2
aroma naturale,1017,moderate,2
fatreduced cocoa powder,1017,moderate,2
paprikaextrakt,1017,moderate,2
dijon mustard,1016,safe,1
rice syrup,1015,moderate,2
sodium citrates,1015,moderate,2
corrector de acidez,1015,moderate,2
organic vinegar,1015,moderate,2
trigo,1014,moderate,2
mangue,1014,moderate,2
backtriebmittel natriumcarbonate,1013,moderate,2
potassium iodate,1013,moderate,2
zitronensaft,1013,moderate,2
organic guar gum,1011,moderate,2
sol,1011,moderate,2
poivron,1010,moderate,2
vitamin e acetate,1010,moderate,2
nonfat milk solids,1009,safe,1
erdnssen,1007,moderate,2
hopfen,1007,moderate,2
pektin,1005,moderate,2
carmine,1004,moderate,2
farina di grano tenero tipo quot,1004,moderate,2
sodium hydrogen carbonate,1003,moderate,2
modified wheat starch,1000,moderate,2
smoke flavor,1000,moderate,2
chocolat noir,999,moderate,2
dry whole milk,999,safe,1
stabilisant glycrol,998,moderate,2
poudre doignon,998,moderate,2
uienpoeder,998,moderate,2
icing sugar,997,moderately high,3
sultanas,997,moderate,2
protines de pois,996,moderate,2
raisin,994,moderate,2
chocolat,994,moderate,2
natriumascorbat,991,moderate,2
bananas,991,moderate,2
see ingredients in bold,990,moderate,2
lemongrass,989,moderate,2
dried skimmed milk,988,safe,1
mosterd,987,moderate,2
poudre de cacao maigre,987,moderate,2
radish,985,moderate,2
hexyl cinnamal,984,moderate,2
zucchini,984,moderate,2
fenugreek,983,safe,1
levure dsactive,983,moderate,2
preservative potassium sorbate,982,moderately high,3
fibre de bl,981,moderate,2
cultured nonfat milk,981,safe,1
pices et aromates,981,moderate,2
zwarte peper,981,moderate,2
artificial and natural flavors,980,moderate,2
clou de girofle,979,moderate,2
lauch,979,moderate,2
vand,977,moderate,2
pommes,976,moderate,2
agaragar,976,moderate,2
magnesium chloride,974,moderate,2
green bell peppers,973,moderate,2
desiccated coconut,973,safe,1
kosher salt,972,safe,1
fdc blue,972,moderate,2
mineral oil,971,moderate,2
potassium sorbate preservative,970,moderately high,3
hydrogenated palm oil,970,moderate,2
dextrine,969,moderate,2
lait pasteuris,969,moderate,2
viande de poulet,969,moderate,2
eier,969,moderate,2
fcule,968,moderate,2
ail dshydrat,967,moderate,2
modified palm oil,966,moderate,2
mango puree,966,safe,1
farine de bl tendre,965,moderate,2
orange juice,965,safe,1
kosher gelatin,965,moderate,2
turkey broth,963,moderate,2
dried cane syrup,962,moderate,2
melkeiwit,959,moderate,2
maltodekstrin,958,moderate,2
farinha de trigo,958,moderate,2
lactosa,957,moderate,2
courgettes,955,moderate,2
kiwi,955,moderate,2
vitamine,953,moderate,2
glifiant carraghnanes,953,moderate,2
lipase,952,moderate,2
mleko,952,moderate,2
palm kernel and palm oil,951,moderate,2
pear juice concentrate,951,moderate,2
carthame,950,moderate,2
organic tapioca starch,949,moderate,2
cacao desgrasado en polvo,949,moderate,2
natural vanilla flavouring,948,safe,1
cocoa powder processed with alkali,948,moderate,2
cuajo,948,moderate,2
organic cinnamon,947,safe,1
zitrone,947,moderate,2
cheddar cheese milk,947,safe,1
levure boulangre,947,moderate,2
chili peppers,947,moderate,2
arme vanille,946,moderate,2
iodure de potassium,945,moderate,2
plain caramel,945,moderate,2
spring water,944,safe,1
natriumnitrit,944,moderate,2
for freshness,943,moderate,2
thiamine mononitrate vitamin b,943,moderate,2
ginger powder,943,moderate,2
horseradish,943,moderate,2
microbial enzyme,942,moderate,2
and salt,942,safe,1
huile de soja,941,moderate,2
aus milch,939,moderate,2
leche en polvo,938,moderate,2
whey solids,938,moderate,2
verdickungsmittel xanthan,937,moderate,2
organic onion,936,safe,1
grape,934,safe,1
canola andor sunflower oil,934,moderate,2
hydrogenated soybean oil,934,moderate,2
rijsmiddel,934,moderate,2
olive,933,moderate,2
defatted soy flour,931,safe,1
salted butter,931,safe,1
avocado oil,931,moderate,2
ethyl alcohol,930,moderate,2
green tea extract,929,moderate,2
whole egg,929,safe,1
white rice flour,929,safe,1
tomatenpulver,929,moderate,2
exhausteur de got,928,moderate,2
sirop de sucre caramlis,925,moderate,2
lecitina de girasol,925,moderate,2
organic soy lecithin,925,moderate,2
red onion,924,safe,1
dextrose de mas,923,moderately high,3
preserves freshness,923,moderate,2
magnesium,922,moderate,2
antioksidant,922,moderate,2
poudre dail,922,moderate,2
benzoato de sodio,921,moderate,2
contains wheat,920,safe,1
green peas,919,safe,1
farbstoffe,919,moderate,2
geraniol,918,moderate,2
partskim milk,918,safe,1
banane,917,moderate,2
agenti lievitanti,917,moderate,2
minerals,917,moderate,2
sonnenblumenkerne,915,moderate,2
crisp rice,915,safe,1
ascorbate de sodium,915,moderate,2
aspartam,914,moderate,2
schwarzer pfeffer,914,moderate,2
enriched flour bleached,913,moderate,2
evaporated cane juice,913,moderate,2
noix de muscade,913,moderate,2
emulsionantes,913,moderate,2
cornmeal,912,moderate,2
organic tomato puree,910,safe,1
enpackagingphotoselected,910,moderate,2
avocado,908,moderate,2
almond butter,907,safe,1
an artificial flavor,907,moderately high,3
mulsifiant lcithines de soja,906,moderate,2
as preservatives,905,moderate,2
vollmilch,905,moderate,2
noisette,904,moderate,2
partially defatted peanut flour,904,safe,1
wine,903,moderate,2
rice bran oil,903,moderate,2
dekstrose,902,moderate,2
organic apple juice concentrate,902,moderate,2
flavor enhancer,902,moderate,2
contient des sulfites,901,moderate,2
levain,900,moderate,2
breadcrumbs,899,moderate,2
dried yeast,899,moderate,2
zinc gluconate,898,moderate,2
artificial flavour,898,moderately high,3
fibres vgtales,897,moderate,2
salvia hispanica,896,moderate,2
sodium acetate,896,moderate,2
starter culture,895,moderate,2
vitamin a acetate,894,moderate,2
organic lemon juice,893,safe,1
polyglycerol polyricinoleate,893,moderate,2
vitamine d,892,moderate,2
entrahmte milch,892,moderate,2
calcium citrate,890,moderate,2
roggenmehl,890,moderate,2
peper,890,moderate,2
enoriginscompleted,890,moderate,2
kaneel,889,moderate,2
or canola oil,888,moderate,2
gewrzextrakt,888,moderate,2
almidn modificado de maz,888,moderate,2
modifizierte maisstrke,888,moderate,2
ginger puree,887,safe,1
nootmuskaat,887,moderate,2
malt syrup,886,moderate,2
green bell pepper,885,safe,1
azcares aadidos,884,moderate,2
extracto de levadura,882,moderate,2
emulsifiant,882,moderate,2
unbleached enriched wheat flour,880,safe,1
organic tomatoes,879,moderate,2
apricots,878,moderate,2
lard,878,moderate,2
hydrogenated coconut oil,877,moderate,2
canola andor soybean oil,877,moderate,2
riboflavin and folic acid,877,moderate,2
kaliumiodat,877,moderate,2
turmeric powder,876,moderate,2
semola di grano duro,876,moderate,2
herbes de provence,876,moderate,2
vitamina d,875,moderate,2
kj kcal,875,moderate,2
sardines,875,moderate,2
eii,875,moderate,2
menthol,874,moderate,2
agent denrobage,874,moderate,2
amande,872,moderate,2
tomatenpuree,870,moderate,2
courgette,868,moderate,2
soy sauce water,868,safe,1
blanc duf,868,moderate,2
raapolie,867,moderate,2
lactoserum en poudre,867,moderate,2
crushed tomatoes,867,moderate,2
rosmarin,867,moderate,2
condensed milk,866,safe,1
aromes,865,moderate,2
senfsaaten,865,moderate,2
citrato de sodio,864,moderate,2
ensugarsinlowquantity,864,moderate,2
cipolla,863,moderate,2
milk ingredients,863,safe,1
trisodium citrate,862,moderate,2
fromages,862,moderate,2
reifekulturen,862,moderate,2
chocolat au lait,860,moderate,2
ricotta,859,moderate,2
kryddor,858,moderate,2
colorant extrait de paprika,857,moderate,2
jus de tomate,857,moderate,2
contains sulfites,857,moderate,2
panthenol,857,moderate,2
saumon atlantique,857,moderate,2
iodised salt,856,safe,1
pasta,855,moderate,2
organic almonds,855,moderate,2
arom,855,moderate,2
magnesium phosphate,854,moderately high,3
graham flour,854,moderate,2
pork fat,854,moderate,2
emulgeringsmedel,854,moderate,2
enphotosvalidated,854,moderate,2
radis,853,moderate,2
caramelised sugar syrup,853,moderately high,3
papaya,852,safe,1
triphosphates,852,moderate,2
seed oil,852,moderate,2
selderij,852,moderate,2
folsure,851,moderate,2
aceite de oliva virgen extra,851,moderate,2
oat bran,850,safe,1
seaweed,849,moderate,2
herbes,849,moderate,2
fortykningsmiddel,848,moderate,2
olivenl,848,moderate,2
son de bl,848,moderate,2
graines de soja,848,moderate,2
koffein,848,moderate,2
cumin powder,847,moderate,2
arroz,847,moderate,2
citronsyra,847,moderate,2
porc,846,moderate,2
foie de porc,844,moderate,2
soy sauce powder,843,moderate,2
whey protein,842,moderate,2
powder,842,moderate,2
eddik,842,moderate,2
dried glucose syrup,841,moderately high,3
palmolie,841,moderate,2
alum,839,moderate,2
enthlt milch,839,moderate,2
organic carrots,839,moderate,2
naturlig aroma,838,moderate,2
avena,838,moderate,2
ensaturatedfatinlowquantity,838,moderate,2
paprikapulver,837,moderate,2
schnittlauch,837,moderate,2
spirulina extract,836,moderate,2
carbonato acido di sodio,836,moderate,2
sodium nitrate,836,hazardous,4
yeast extract powder,836,moderate,2
vanilleextrakt,836,moderate,2
amidon de ble,835,moderate,2
amido,835,moderate,2
potassium bicarbonate,834,moderate,2
semisweet chocolate,834,safe,1
carotin,834,moderate,2
ferrous fumarate,833,moderate,2
pears,833,moderate,2
golden syrup,833,moderate,2
nutriscore,833,moderate,2
pistaches,832,moderate,2
raap,832,moderate,2
suero de leche en polvo,830,moderate,2
vegetable gum,830,moderate,2
sedano,829,moderate,2
melasse,826,moderate,2
italie,826,moderate,2
nata,825,moderate,2
natural,825,moderate,2
chlorure de calcium,825,moderate,2
sorbit,825,moderate,2
agent de traitement de la farine,825,moderate,2
sulphur dioxide,823,moderately high,3
dried whole milk,823,safe,1
propylene glycol alginate,823,hazardous,4
marjoram,823,moderate,2
organic soybean oil,822,moderate,2
diced tomatoes in tomato juice,822,safe,1
cocoa solids,822,safe,1
mantequilla,822,moderate,2
palmvet,821,moderate,2
matire grasse laitire anhydre,820,moderate,2
colorant carotnodes,819,moderate,2
folate,819,moderate,2
mineral salt,819,safe,1
siero di latte in polvere,819,moderate,2
conservantes,818,moderate,2
organic corn starch,817,moderate,2
made from corn,815,safe,1
colorant caramel ordinaire,814,moderate,2
caprylyl glycol,814,moderate,2
aromit,813,moderate,2
tomato sauce,812,safe,1
acidulante cido ctrico,812,moderate,2
ennutritionfactstobecompleted,812,moderate,2
glutamate monosodique,811,moderate,2
chicken meat,808,safe,1
agent de traitement de la farine acide ascorbique,808,moderate,2
spinach powder,807,moderate,2
lievito di birra,806,moderate,2
organic apple cider vinegar,805,moderate,2
oat flakes,805,safe,1
leche descremada en polvo,805,moderate,2
colour paprika extract,804,moderate,2
fresh garlic,804,safe,1
aceite de girasol alto oleico,804,moderate,2
minraux,804,moderate,2
petitlait en poudre,804,moderate,2
fermenti lattici,802,moderate,2
maz,802,moderate,2
vegetable oil shortening,801,moderate,2
matire grasse de lait anhydre,801,moderate,2
fenugrec,800,moderate,2
glucosa,799,moderate,2
black tea,799,safe,1
fraises,798,moderate,2
raspberry puree,798,moderate,2
aromatizante,797,moderate,2
calcium peroxide,796,moderate,2
steinsalz,796,moderate,2
lutein,795,moderate,2
glucosesirup,794,moderate,2
huiles et graisses vgtales,794,moderate,2
mlasse,793,moderate,2
arme naturel de citron,793,moderate,2
magermilch,793,moderate,2
sirop de glucose dshydrat,793,moderately high,3
brazil nuts,792,moderate,2
coconut sugar,791,moderately high,3
natuurazijn,791,moderate,2
kokosl,790,moderate,2
gjr,789,moderate,2
ocet spirytusowy,789,moderate,2
celeri,789,moderate,2
citrates de sodium,789,moderate,2
durum wheat flour,788,safe,1
ensalt,788,moderate,2
thymian,787,moderate,2
enthlt soja,786,moderate,2
fruits,786,moderate,2
ground cinnamon,786,safe,1
pektine,786,moderate,2
topcountryfrscans,786,moderate,2
acacia,785,moderate,2
sahnepulver,785,moderate,2
beetroot red,783,moderate,2
paprikapoeder,783,moderate,2
mka pszenna,782,moderate,2
rijstebloem,782,moderate,2
emulsificante,781,moderate,2
granulated onion,780,safe,1
monopotassium phosphate,780,moderately high,3
ennonvegan,780,moderate,2
andor canola oil,779,moderate,2
pure dail,779,moderate,2
natriumacetate,778,moderate,2
organic natural flavor,777,moderate,2
green peppers,777,moderate,2
organic canola oil,777,moderate,2
hydrolyzed vegetable protein,777,moderate,2
cranberry,776,moderate,2
enaddedsugar,776,moderate,2
organic dried cane syrup,775,moderate,2
cherry,774,moderate,2
vinagre de vino,774,moderate,2
ethylhexylglycerin,772,moderate,2
acsulfamek,771,moderate,2
guar,771,moderate,2
acidulant,771,moderate,2
carotnodes,771,moderate,2
gurken,770,moderate,2
manteiga de cacau,769,moderate,2
leo de girassol,769,moderate,2
dlevage au sol,769,moderate,2
sweet potatoes,768,moderate,2
glutamato monosdico,767,moderate,2
calciumcarbonat,766,moderate,2
modified cellulose,766,moderate,2
organic palm oil,766,moderate,2
emulgator sojalecithine,766,moderate,2
natives olivenl extra,766,moderate,2
acidifiant acide lactique,765,moderate,2
beef extract,765,moderate,2
mustard powder,765,moderate,2
schalenfrchten,764,moderate,2
to retain freshness,764,moderate,2
epices,763,moderate,2
autolyzed yeast,763,moderate,2
marjolaine,763,moderate,2
hops,763,moderate,2
dried apples,762,moderate,2
wheat flour wheat flour,762,safe,1
invert syrup,761,moderate,2
coagulant microbien,759,moderate,2
pepperoni,759,moderate,2
stabiliseringsmedel,759,moderate,2
couenne de porc,759,moderate,2
schwarze johannisbeere,758,moderate,2
vitamin a palmitate added,757,moderate,2
semoule de ble dur,757,moderate,2
sodium benzoate preservative,756,hazardous,4
correttore di acidit acido citrico,756,moderate,2
organic rice flour,756,safe,1
hazelnut,756,moderate,2
emulsifier soy lecithin,755,moderate,2
leek,754,moderate,2
enriched with niacin,754,moderate,2
wholemeal wheat flour,753,safe,1
zitronensaft aus zitronensaftkonzentrat,753,moderate,2
amidon transform de pomme de terre,752,moderate,2
palm and palm kernel oil,752,moderate,2
prsure animale,751,moderate,2
pear,750,moderate,2
aromes naturels,750,moderate,2
polyphosphates,750,moderate,2
lactobacillus acidophilus,749,moderate,2
arme naturel de poivre,747,moderate,2
inulina,747,moderate,2
nitritpkelsalz,747,moderate,2
rgulateur dacidit,746,moderate,2
copper gluconate,745,moderate,2
strawberry juice concentrate,745,moderate,2
vollei,745,moderate,2
farine de malt dorge,744,moderate,2
hydrogenated cottonseed oil,743,moderate,2
matires grasses vgtales,743,moderate,2
pinto beans,742,moderate,2
stabilisant carraghnanes,742,moderate,2
pea protein isolate,741,moderate,2
semisweet chocolate chips,741,safe,1
apple puree,741,safe,1
agua carbonatada,741,moderate,2
cane molasses,739,moderate,2
oignon dshydrat,738,moderate,2
cebula,738,moderate,2
ufs frais,737,moderate,2
cognac,737,moderate,2
mollusque,736,moderate,2
psyllium,735,moderate,2
organic cream,735,safe,1
organic coconut sugar,735,moderately high,3
carbonate acide dammonium,735,moderate,2
buchenholzrauch,735,moderate,2
ground ginger,734,safe,1
emulsionante lecitina di soia,734,moderate,2
sorbato potsico,734,moderate,2
carbonato de calcio,733,moderate,2
paniermehl,733,moderate,2
red cabbage,733,safe,1
huile de noix de coco,733,moderate,2
shallot,733,moderate,2
beets,732,moderate,2
flocons de pomme de terre,732,moderate,2
blue cheese,732,safe,1
amido di frumento,731,moderate,2
bouillon de lgumes,731,moderate,2
senape,731,moderate,2
kwas cytrynowy,731,moderate,2
chicory root extract,730,moderate,2
acidificante acido citrico,730,moderate,2
malted wheat flour,729,safe,1
pflanzliches fett,729,moderate,2
calcium dpantothenate,728,moderate,2
mint,728,moderate,2
glyceryl stearate,727,moderate,2
ergocalciferol,727,moderate,2
soya beans,726,moderate,2
whole oat flour,726,safe,1
antioxidant ascorbic acid,725,safe,1
aromates,725,moderate,2
abricot,724,moderate,2
coumarin,723,moderate,2
whole grain brown rice flour,723,safe,1
organic,723,moderate,2
senfsaat,723,moderate,2
menthe,722,moderate,2
red chilli,722,safe,1
and folic acid,722,moderate,2
reduced fat milk,722,safe,1
huile dolive vierge,722,moderate,2
solsikkeolje,721,moderate,2
caf,721,moderate,2
carbomer,719,moderate,2
palmkern,719,moderate,2
gjrekstrakt,718,moderate,2
lecitinas,718,moderate,2
from corn,718,safe,1
ground cumin,718,safe,1
contains sulphites,718,moderate,2
arome naturel,717,moderate,2
mosterdzaad,717,moderate,2
nutrition photo to be selected,717,moderate,2
organic turmeric,716,safe,1
cultured skim milk,716,safe,1
natural hickory smoke flavor,716,moderate,2
bay leaf,716,moderate,2
high oleic canola oil,715,moderate,2
dried blueberries,715,moderate,2
bakkersgist,715,moderate,2
vitamine e,714,moderate,2
organic coconut,714,safe,1
granulated sugar,714,moderately high,3
organic rolled oats,714,moderate,2
cashew nuts,713,safe,1
aromaer,713,moderate,2
buckwheat,712,moderate,2
leite,712,moderate,2
paprika powder,712,moderate,2
cranberry juice concentrate,712,moderate,2
turbinado sugar,711,moderately high,3
herbes aromatiques,710,moderate,2
cacahutes,708,moderate,2
ascorbyl palmitate,708,moderate,2
carrot juice concentrate,708,moderate,2
blanc doeuf en poudre,707,moderate,2
sucre glace,707,moderate,2
romaine lettuce,707,moderate,2
glifiant pectine,707,moderate,2
plantbased foods,706,moderate,2
demerara sugar,705,moderately high,3
modified whey,705,moderate,2
reisstrke,705,moderate,2
syre,705,moderate,2
himalayan pink salt,704,safe,1
proteine del latte,703,moderate,2
bleached enriched flour,703,moderate,2
cultured celery powder,702,moderate,2
saflor,702,moderate,2
pure de tomate,702,moderate,2
latte intero in polvere,701,moderate,2
haricots verts,701,moderate,2
syrop glukozowy,701,moderate,2
organic apples,700,moderate,2
macadamia nuts,700,moderate,2
encharacteristicscompleted,700,moderate,2
chocolate processed with alkali,699,safe,1
organic molasses,699,moderate,2
cream powder,697,moderate,2
almendra,697,moderate,2
leaf,696,moderate,2
dry roasted peanuts,695,moderate,2
sulfate de zinc,695,moderate,2
bell peppers,694,moderate,2
apple puree concentrate,694,moderate,2
ascorbinezuur,693,moderate,2
allulose,692,moderate,2
jalapeno,692,moderate,2
benzoic acid,692,moderately high,3
de fruits coque,692,moderate,2
olio di cocco,691,moderate,2
aceites vegetales,691,moderate,2
lcithines de soja,691,moderate,2
koolzaad,691,moderate,2
spiruline,690,moderate,2
interesterified soybean oil,690,moderate,2
ground coriander,690,safe,1
concentrated orange juice,690,safe,1
lcarnitine,690,moderate,2
fruits coques,690,moderate,2
tara gum,688,moderate,2
sesame seed,688,safe,1
z mleka,688,moderate,2
vitlk,688,moderate,2
yeast nutrients,687,moderate,2
pasteurisierte kuhmilch,687,moderate,2
ingredients to be completed,687,moderate,2
cido lctico,686,moderate,2
framboises,685,moderate,2
orangenschalen,685,moderate,2
gerstemout,684,moderate,2
champignons de paris,683,moderate,2
gummi arabicum,683,moderate,2
rice bran,682,safe,1
btacarotne,682,moderate,2
katsuwonus pelamis,682,moderate,2
carrot powder,681,moderate,2
